row_number,input_name,matched_company_name,company_number,company_status,company_type,date_of_creation,accounts_last_made_up_to,accounts_next_due,sic_codes,source_url,query_score,match_quality,bankability_comment
2,2 Sisters Food Group,2 SISTERS FOOD GROUP LIMITED,02826929,active,ltd,1993-06-15,2024-07-27,2026-04-30,10120,https://api.company-information.service.gov.uk/company/02826929,1.03,High,Companies House match: 2 SISTERS FOOD GROUP LIMITED (02826929); status=active; type=ltd; incorporated=1993-06-15; last accounts made up to=2024-07-27; next accounts due=2026-04-30.
3,3M Company,3M ECOM COMPANY LTD,16687030,active,ltd,2025-09-01,,2027-06-01,47910,https://api.company-information.service.gov.uk/company/16687030,0.89,Medium,Companies House match: 3M ECOM COMPANY LTD (16687030); status=active; type=ltd; incorporated=2025-09-01; last accounts made up to=n/a; next accounts due=2027-06-01.
4,4Life Research,4LIFE RESEARCH UK LIMITED,06445840,active,ltd,2007-12-05,2024-12-31,2026-09-30,82990,https://api.company-information.service.gov.uk/company/06445840,0.92,Medium,Companies House match: 4LIFE RESEARCH UK LIMITED (06445840); status=active; type=ltd; incorporated=2007-12-05; last accounts made up to=2024-12-31; next accounts due=2026-09-30.
5,A.S. Watson Group,1A WATSON GROUPS LTD,16557208,active,ltd,2025-07-02,,2027-04-02,41100,https://api.company-information.service.gov.uk/company/16557208,1.00,High,Companies House match: 1A WATSON GROUPS LTD (16557208); status=active; type=ltd; incorporated=2025-07-02; last accounts made up to=n/a; next accounts due=2027-04-02.
6,A|X Armani Exchange,ARMANI & SONS LTD,16565218,active,ltd,2025-07-07,,2027-04-07,46341,https://api.company-information.service.gov.uk/company/16565218,0.67,Low,Companies House match: ARMANI & SONS LTD (16565218); status=active; type=ltd; incorporated=2025-07-07; last accounts made up to=n/a; next accounts due=2027-04-07.
7,AAF International,AAF INTERNATIONAL LTD,15986305,active,ltd,2024-09-30,,2026-06-30,"78109, 78200, 81210, 81222",https://api.company-information.service.gov.uk/company/15986305,1.09,High,Companies House match: AAF INTERNATIONAL LTD (15986305); status=active; type=ltd; incorporated=2024-09-30; last accounts made up to=n/a; next accounts due=2026-06-30.
8,AAK,AAK LIMITED,02588842,active,ltd,1991-03-06,2025-06-30,2027-03-31,46420,https://api.company-information.service.gov.uk/company/02588842,0.63,Low,Companies House match: AAK LIMITED (02588842); status=active; type=ltd; incorporated=1991-03-06; last accounts made up to=2025-06-30; next accounts due=2027-03-31.
9,Aalberts NV,AALBERTS U.K. LIMITED,03596780,active,ltd,1998-07-13,2024-12-31,2026-09-30,70100,https://api.company-information.service.gov.uk/company/03596780,0.80,Medium,Companies House match: AALBERTS U.K. LIMITED (03596780); status=active; type=ltd; incorporated=1998-07-13; last accounts made up to=2024-12-31; next accounts due=2026-09-30.
10,AAR,AAR LIMITED,09472732,active,ltd,2015-03-05,2025-03-31,2026-12-31,62020,https://api.company-information.service.gov.uk/company/09472732,0.63,Low,Companies House match: AAR LIMITED (09472732); status=active; type=ltd; incorporated=2015-03-05; last accounts made up to=2025-03-31; next accounts due=2026-12-31.
11,AB Agri,AB AGRI LIMITED,00193800,active,ltd,1923-11-16,2025-08-31,2027-05-31,10910,https://api.company-information.service.gov.uk/company/00193800,0.84,Medium,Companies House match: AB AGRI LIMITED (00193800); status=active; type=ltd; incorporated=1923-11-16; last accounts made up to=2025-08-31; next accounts due=2027-05-31.
12,ABB,ABB AS,FC034500,active,oversea-company,2017-07-10,2016-12-31,,,https://api.company-information.service.gov.uk/company/FC034500,0.87,Medium,Companies House match: ABB AS (FC034500); status=active; type=oversea-company; incorporated=2017-07-10; last accounts made up to=2016-12-31; next accounts due=n/a.
13,Abbott Laboratories,ABBOTT LABORATORIES LIMITED,00329102,active,ltd,1937-06-23,2024-12-31,2026-09-30,46460,https://api.company-information.service.gov.uk/company/00329102,1.03,High,Companies House match: ABBOTT LABORATORIES LIMITED (00329102); status=active; type=ltd; incorporated=1937-06-23; last accounts made up to=2024-12-31; next accounts due=2026-09-30.
14,AbbVie Inc.,ABBVIE LTD,08004972,active,ltd,2012-03-23,2024-12-31,2026-09-30,46460,https://api.company-information.service.gov.uk/company/08004972,0.90,Medium,Companies House match: ABBVIE LTD (08004972); status=active; type=ltd; incorporated=2012-03-23; last accounts made up to=2024-12-31; next accounts due=2026-09-30.
15,Abercrombie & Fitch Co.,ABERCROMBIE & HILL,LP005567,active,limited-partnership,1997-10-04,,,,https://api.company-information.service.gov.uk/company/LP005567,0.94,Medium,Companies House match: ABERCROMBIE & HILL (LP005567); status=active; type=limited-partnership; incorporated=1997-10-04; last accounts made up to=n/a; next accounts due=n/a.
16,ABU DHABI OIL COMPANY LIMITED ADOC,ABU DHABI ASSET MANAGEMENT LIMITED,SC776952,active,ltd,2023-07-26,2024-07-31,2026-04-30,99999,https://api.company-information.service.gov.uk/company/SC776952,0.85,Medium,Companies House match: ABU DHABI ASSET MANAGEMENT LIMITED (SC776952); status=active; type=ltd; incorporated=2023-07-26; last accounts made up to=2024-07-31; next accounts due=2026-04-30.
