Company Name,Credit Rating (S&P / Moody's / Fitch),Status ( > BBB- ),Matched UK Entity,Company Number,Filing Date,Filing Description,Entity Scope,Turnover,EBITDA,Interest Expense,Net Debt,EBITDA / Turnover,EBITDA / Interest Expense,Net Debt / EBITDA,Filing-Based Verdict,Filing Review Reason,Document URL,Source Format
AbbVie Inc.,A- (S&P) / A2 (Moody's),Qualified,ABBVIE LTD,08004972,2025-09-24,accounts-with-accounts-type-full,company,,,,,,,,Needs review,"Missing required values: turnover, ebitda, interest expense, net debt.",https://document-api.company-information.service.gov.uk/document/rmw6uhUjTikuBnQZABLESF69Lubw924Qo9q6XOsgofM,pdf
Aldi UK,Unrated (Private),TBD,ALDI LIMITED,02333320,2025-09-19,accounts-with-accounts-type-dormant,company,,,,,,,,Needs review,"Missing required values: turnover, ebitda, interest expense, net debt.",https://document-api.company-information.service.gov.uk/document/cTmd7KScYq4qAyWZWtbYx5lzpwadqs6QPIvvWOVXPUI,pdf
Almac Group,Unrated (Private),TBD,ALMAC GROUP LIMITED,NI041551,2025-06-02,accounts-with-accounts-type-group,group,,,,,,,,Needs review,"Missing required values: turnover, ebitda, interest expense, net debt.",https://document-api.company-information.service.gov.uk/document/nCYT85MFdqjvbGeYw5Ug36pKqlnYMuazvH3vtnhv0uM,pdf
Almirall S.A.,BB (S&P) / Ba3 (Moody's),Disqualified,ALMIRALL LIMITED,06320852,2025-10-24,accounts-with-accounts-type-full,company,,,,,,,,Needs review,"Missing required values: turnover, ebitda, interest expense, net debt.",https://document-api.company-information.service.gov.uk/document/dY6qeZe-cV0ftE-vjdxi4593tZILxq8oU038iqAu99k,pdf
AMRI,B- (S&P),Disqualified,AMRI LTD,15496453,,,,,,,,,,,Needs review,No usable accounts filing with document metadata found.,,
Asda Supermarket,B (S&P) / B1 (Moody's),Disqualified,ASDA SUPERMARKETS LIMITED,04144792,2023-09-28,accounts-with-accounts-type-full,company,,,,,,,,Needs review,"Missing required values: turnover, ebitda, interest expense, net debt.",https://document-api.company-information.service.gov.uk/document/AXUps1CDXkjbjiMC5yFGukp-IQlhIru_YR2atUR8lPY,pdf
AstraZeneca,A (S&P) / A2 (Moody's),Qualified,ASTRAZENECA PLC,02723534,2025-04-23,accounts-with-accounts-type-group,group,,,,,,,,Needs review,"Missing required values: turnover, ebitda, interest expense, net debt.",https://document-api.company-information.service.gov.uk/document/nvcpU19aeWhfuuDbHAZJqXRVzK4wMWHItRIt0xB8xQA,pdf
Boehringer Ingelheim,Unrated (Private),TBD,BOEHRINGER INGELHEIM LIMITED,00711858,2025-09-23,accounts-with-accounts-type-full,company,,,,,,,,Needs review,"Missing required values: turnover, ebitda, interest expense, net debt.",https://document-api.company-information.service.gov.uk/document/eLgroJCI0JDyOamCXOkvR3OdYk54LxDnO7x7TzY-Szo,pdf
Boots UK,BB- (S&P) via WBA,Disqualified,BOOTS UK LIMITED,00928555,2025-06-04,accounts-with-accounts-type-full,company,,,,,,,,Needs review,"Missing required values: turnover, ebitda, interest expense, net debt.",https://document-api.company-information.service.gov.uk/document/CjrhSRr7MQSCi26j6b9jb_gVG9fVlZrMrt0No0p3K8E,pdf
Bristol-Myers Squibb Co,A (S&P) / A2 (Moody's),Qualified,BRISTOL-MYERS SQUIBB HOLDINGS LIMITED,00263455,2025-06-17,accounts-with-accounts-type-full,company,,,,,,,,Needs review,"Missing required values: turnover, ebitda, interest expense, net debt.",https://document-api.company-information.service.gov.uk/document/r8s7Luyw7ZzDwylQqHnUjdoNgHM84vjxXC9hmc5AiRY,pdf
