Company Name,Credit Rating (S&P / Moody's / Fitch),Status ( > BBB- )
AbbVie Inc.,A- (S&P) / A2 (Moody's),Qualified
Aldi UK,Unrated (Private),TBD
Almac Group,Unrated (Private),TBD
Almirall S.A.,BB (S&P) / Ba3 (Moody's),Disqualified
AMRI,B- (S&P),Disqualified
Asda Supermarket,B (S&P) / B1 (Moody's),Disqualified
AstraZeneca,A (S&P) / A2 (Moody's),Qualified
Boehringer Ingelheim,Unrated (Private),TBD
Boots UK,BB- (S&P) via WBA,Disqualified
Bristol-Myers Squibb Co,A (S&P) / A2 (Moody's),Qualified
Cambrex,B (S&P),Disqualified
Elanco Animal Health Inc.,BB+ (S&P),Disqualified
Eli Lilly And Company,A+ (S&P) / A1 (Moody's),Qualified
Eurospar,Unrated,TBD
Galderma SA,BB+ (S&P),Disqualified
Giant Tiger,Unrated (Private),TBD
Grifols S.A.,B (S&P),Disqualified
GSK,A (S&P) / A2 (Moody's),Qualified
H-E-B,Unrated (Private),TBD
Hikma Pharmaceuticals PLC,BBB- (S&P),Disqualified
Indivior plc,Unrated,TBD
Ipsen Pharma,Unrated,TBD
Jazz Pharmaceuticals PLC,BB- (S&P),Disqualified
Lidl GB,Unrated (Private),TBD
Lidl In Germany,Unrated (Private),TBD
Lloyd's Pharmacy,Liquidated / Unrated,Disqualified
Lonza Group Ltd,BBB+ (S&P),Qualified
Mallinckrodt Pharmaceuticals,CCC (S&P),Disqualified
McColl S Retail Group,Acquired / Unrated,Disqualified
Melaleuca The Wellness Company,Unrated (Private),TBD
Merck & Co. Inc.,A+ (S&P) / A1 (Moody's),Qualified
Merck KGaA,A (S&P) / A3 (Moody's),Qualified
Merz Aesthetics EMEA,Unrated (Private),TBD
MSD,A+ (S&P) via Merck & Co,Qualified
Mundipharma International Limited,Unrated,TBD
Novartis AG,AA- (S&P) / Aa3 (Moody's),Qualified
One Stop Stores Ltd,BBB- (S&P) via Tesco,Disqualified
Organon & Co.,BB (S&P),Disqualified
Patheon,A- (S&P) via Thermo Fisher,Qualified
Perrigo Company plc,BB+ (S&P),Disqualified
Pfizer Inc.,A (S&P) / A1 (Moody's),Qualified
Pick N Pay,Unrated / Local scale only,TBD
Pierre Fabre Group,Unrated (Private),TBD
Recordati Industria Chimica...,BBB- (S&P),Disqualified
Rowlands Pharmacy,Unrated,TBD
Sandoz AG,BBB (S&P) / Baa2 (Moody's),Qualified
Sanofi,AA- (S&P) / A1 (Moody's),Qualified
Savers Health Home & Beauty,Unrated,TBD
Servier,Unrated (Private),TBD
Shoppers Drug Mart,BBB+ (S&P) via Loblaw,Qualified
STERIGENE,Unrated,TBD
Superdrug,Unrated,TBD
Takeda Pharmaceutical,BBB+ (S&P) / Baa2 (Moody's),Qualified
Tesco,BBB- (S&P) / Baa3 (Moody's),Disqualified
Teva Pharmaceutical Industries,BB- (S&P),Disqualified
The Janssen Pharmaceutical...,AAA (S&P) via J&J,Qualified
Viatris Inc.,BBB- (S&P),Disqualified
Virbac SA,Unrated,TBD
Walgreens Boots Alliance,BB- (S&P) / Ba2 (Moody's),Disqualified
West Pharmaceutical Services,Unrated,TBD
